Project,Opcode,Hash
ProjectA,ldr,f5e11dbfd074a71dad5185d655e369d6f9e17acd466bab31e39c979c0680916e
ProjectA,stmdb,025cc19b62cbd122d4d64baa28b2ed9f1405b80ba7fc23159d4dd2ec94cf9241
ProjectA,mov,7f63d5b101d68d70ad963eb44926becd2015add312d64e5c9e66b22a33235b03
ProjectA,bl,9f9ab774d8d7e5c6be498149893440493a2df0f846cd8a933e9378f455e3ffc2
ProjectA,ldmia,5bed165f562e40febe264747d3abdbda25ec53cd7c4a703feb691c258d7e55b7
ProjectA,bx,bce564ebeba135ae3d3b7b13d435b482bf19ba59a1002531761a950cb028b8bf
ProjectA,cmncc,ec2944f029e00062c14d5e31e44d7e5d855a1d7e1b15669d6bad7be1a3b40e75
ProjectA,vmrs,b2a90d6ffc8c6884308fb2213cb72aa4c2e90b05eef315a37939842494e03c62
ProjectA,nop,d3ecc59607e1e6101c0aa00b1180674e603ec95913abbe7254a5732202a0ac0b
ProjectA,b,ca7abaca844f6e62286f7af81a30a504cef4262ef62d615067ffdb39478e0b3f
ProjectA,push,dde00a513393d6f978c9e7bc442c69cb517ac7ec8aabf5ca0f7eaf14b9654492
ProjectA,beq,7ab5e8a642e5919b9d1973bcd334232e918a69f2e9867592aaed8a9505c2fcc4
ProjectA,add,ae30e3a71c4904711a52e522c5cfb354e26a716297a014c50f468cf3dde652aa
ProjectA,cmp,01f1ce706fedbcfaa1322096a6001717871d82a7d97c831f0b09dde7f90e1879
ProjectA,orr,46693cb1e431eb9e74ca14980009b7123ebd0dd24b4c90f29db789f26905d44d
ProjectA,negs,8ece70d032a16cb4c4eeb7dccd8bd6203382cec377ddaac2bde6f717252fa831
ProjectA,sbc,43518381c6e76ef9f174eb917ddfcffc3a743be4d0ac6102b0340fd33b6aa73a
ProjectA,sub,45bed9c21d7e4b9342ffb190d599c5f76761c2198a22e328299da9da0ef232c6
ProjectA,lsl,73882f69980720525fca69e9836878510207dfc46ed63b4587ad73d694efa529
ProjectA,lsr,47a43aa0973e0e2248c0a4dd96bdc6df5fc838295740b4d4f0efb106d2c852ab
ProjectA,adds,45bd9046b79de2e54f91b66d0548458efa35bcad4762fec9401d90d9f997d3a0
ProjectA,bcc,b26c32513fec42f39601c6caa6b0a7724340b6158306d153b700299420684cdb
ProjectA,lsrs,e844ef5ced41ee92b31acdc948d9ec0bf8ac2886ad6601eeeb4155c668a1efcc
ProjectA,movs,6ec7467b7a5b60f6e5970698f05b3ea58ef1ee2b11df072d78797dc36732f75a
ProjectA,bcs,79527a4aa542ab74c154cb1f2c6c00297c27eab918a31debaa74ac4a112c0004
ProjectA,pop,81bc828c8725630e5247bd8b5d9f028e98063ab39d15dd788eaae98c57cc605c
ProjectA,subs,8582e9657bc0eb065358aa158565ef4a93fe5ba9b6fff72e8a02e8b0f3e1c42e
ProjectA,clz,1a143deb14df8d13a0306e3ce5f19bbf65bf3b235e2e051b7cc972d3aa5800e4
ProjectA,rsb,55a147ace977dd75235b149c558ebb954fde986a445b836353aa5af68c6959bc
ProjectA,bne,6e44e5c84ac9ffe1bd6ad4e41ca66d40bdd34b76e10de364a5db27f4d76d466e
ProjectA,lsls,8cab0809cba82c0a5542cb1e283904f398f92175c5806ee17a710c653a2c3967
ProjectA,cbnz,6c2190e0da6286c4c8910d2300f79891061578dab5fa3fcb5ade627b2add35bd
ProjectA,strd,79a73aabb52f019da378d10bf378c7e53ddb45d93d4d0a7e71286bdceb3a1364
ProjectA,cbz,7ae29f27861a49f1a65af1ab11149b41621fe2e6310e888d7c7cd9ac616930cb
ProjectA,vmov,90e0b9772c1dd7c90125e3f3a7d4e71e923589aef3a5209feb7c3e7f536e6bfb
ProjectA,vcmpe,c1d7ba995097a6ac51a6b197fcf610eac4cbb36ff06d9c30d4110709f491e949
ProjectA,bmi,a56525e3fb896d18a87660af85566cdb3a489482d122ddc341c9889f46f7ed5f
ProjectA,vneg,53824d101872aea5a3d683c5b96b93163f43b9a99dbcb7c332e87b5005962adf
ProjectA,vldr,d9ca1b1df0ffc0c9c31672c95e6c0dc0bc1b493ef50c6db26809d21ecb9daf2f
ProjectA,vcvt,e5728e58539dba723b647ad4f9cb1192aedf9a9363f7389625c7421ee4b65803
ProjectA,vmul,c4f4b9c515119119ea8eb716cc207d41d9ec0a2ba1b24577b8874c71bd9e9299
ProjectA,vfms,2161b24ee3b0b898e99b41d077bd9d061331b431111ff7985da9b7f1ebe07647
ProjectA,andeq,4764b0df19f82d5777760c1e4d3f7605625a8cd980bf52a5837bc4a6616f7f7e
ProjectA,ldclcc,73ed7a40b7562182672c00b49fc1ab84cfaad5b942fea89c5dcd94cf338887f8
ProjectA,mvnsmi,5553b651aa306030f06063a4563afaec5ca5845d68d1017c2d4d7efabdf1ba33
